2.124, 0.003906,0,0.001953,7126.51
2.145,-0.001953,-0.001953,-0.001953,7126.51
2.156, 0.001953,-0.001953,-0.001953,7126.51
2.177, 0.001953,0.001953,0,7126.4
2.187, 0.000000,-0.001953,0,7126.4
2.208, 0.005859,0,0,7126.4
2.218, 0.001953,-0.001953,0,7126.4
2.239, 0.001953,-0.001953,0,7126.4
2.25, 0.001953,-0.001953,0,7126.4
2.27, 0.001953,-0.001953,0,7126.9
2.281, 0.000000,0.001953,0,7126.9
2.302,-0.001953,-0.001953,-0.001953,7126.9
2.312,-0.001953,-0.001953,0,7126.9
2.333, 0.001953,-0.003906,0,7126.9
2.354,-0.001953,0,0.001953,7126.9
2.364, 0.001953,0.001953,-0.001953,7126.84
2.386, 0.001953,-0.001953,-0.001953,7126.84
2.397, 0.001953,-0.003906,-0.001953,7126.84
2.408, 0.000000,-0.001953,-0.001953,7126.84
2.428, 0.001953,-0.001953,0.001953,7126.84
2.449, 0.001953,0.001953,-0.001953,7126.84
2.46, 0.001953,-0.001953,0.001953,7126.73
2.48, 0.000000,-0.001953,0,7126.73
2.491,-0.003906,0,0.001953,7126.73
2.512, 0.003906,-0.003906,-0.001953,7126.73
2.522,-0.001953,0,-0.001953,7126.73
2.543, 0.001953,-0.003906,-0.001953,7126.73
2.553, 0.003906,-0.001953,-0.001953,7126.73
2.574, 0.003906,-0.001953,0,7126.57
2.585, 0.001953,0.001953,-0.001953,7126.57
2.606,-0.001953,-0.003906,-0.001953,7126.57
2.616, 0.001953,-0.003906,0,7126.57
2.637, 0.001953,0,0,7126.57
2.648, 0.001953,-0.001953,0.003906,7126.57
2.668, 0.001953,0,0,7126.57
2.68,-0.001953,0,-0.003906,7126.57
2.7, 0.001953,-0.001953,-0.001953,7126.57
2.711, 0.001953,-0.001953,0.001953,7126.57
2.732, 0.001953,-0.003906,-0.001953,7126.57
2.743, 0.001953,-0.001953,-0.001953,7126.57
2.763, 0.003906,-0.001953,0.001953,7127.29
2.773,-0.003906,0.001953,0,7127.29
2.794,-0.001953,0.001953,0,7127.29
2.805, 0.000000,-0.003906,-0.001953,7127.29
2.826, 0.001953,0,0.001953,7127.29
2.836, 0.003906,0,-0.001953,7127.29
2.857, 0.000000,-0.001953,0.001953,7127.34
2.867, 0.001953,0,-0.001953,7127.34
2.889, 0.001953,0,0.001953,7127.34
2.909, 0.001953,-0.001953,0,7127.34
2.92,-0.001953,-0.001953,0.001953,7127.34
2.94,-0.001953,-0.003906,-0.001953,7127.34
2.951, 0.001953,-0.001953,-0.001953,7126.9
2.971, 0.001953,-0.003906,0.001953,7126.9
2.982, 0.001953,-0.001953,0.001953,7126.9
3.003, 0.001953,-0.001953,-0.001953,7126.9
3.014,-0.001953,0.001953,0,7126.9
3.034, 0.000000,-0.001953,-0.001953,7126.9
3.045, 0.005859,-0.001953,-0.001953,7126.84
3.065, 0.001953,-0.003906,-0.001953,7126.84
3.075, 0.000000,-0.001953,-0.001953,7126.84
3.096, 0.000000,-0.001953,-0.003906,7126.84
3.107,-0.001953,-0.001953,-0.001953,7126.84
3.127, 0.003906,-0.001953,0.001953,7126.84
3.148, 0.003906,-0.001953,-0.001953,7127.4
3.158, 0.001953,-0.001953,0.001953,7127.4
3.179, 0.000000,0,0.001953,7127.4
3.19, 0.001953,0,0.001953,7127.4
3.211, 0.001953,-0.001953,-0.001953,7127.4
3.221, 0.003906,-0.001953,-0.001953,7127.4
3.242, 0.000000,0,0,7126.84
3.253, 0.003906,0.001953,0.001953,7126.84
3.273,-0.001953,-0.001953,-0.001953,7126.84
3.284, 0.001953,-0.001953,0.001953,7126.84
3.305, 0.003906,-0.001953,0,7126.84
3.315, 0.001953,-0.001953,0.001953,7126.84
3.336, 0.003906,-0.001953,-0.003906,7127.63
3.347,-0.001953,-0.001953,0,7127.63
3.367, 0.001953,-0.001953,0,7127.63
3.379,-0.001953,0.001953,0,7127.63
3.4, 0.000000,0,0.001953,7127.63
3.41,-0.001953,-0.001953,0,7127.63
3.431, 0.001953,0.001953,-0.001953,7126.45
3.442, 0.003906,-0.001953,-0.001953,7126.45
3.463,-0.001953,0,-0.001953,7126.45
3.473, 0.000000,-0.001953,-0.001953,7126.45
3.494, 0.003906,0,0.001953,7126.45
3.515, 0.003906,-0.003906,-0.001953,7126.45
3.526, 0.001953,-0.001953,0,7126.45
3.537,-0.001953,-0.001953,-0.003906,7127.46
3.557,-0.001953,-0.001953,0,7127.46
3.567, 0.001953,-0.003906,0,7127.46
3.589, 0.001953,-0.001953,0.001953,7127.46
3.6, 0.000000,-0.003906,-0.001953,7127.46
3.62, 0.003906,-0.001953,-0.001953,7127.46
3.641, 0.001953,-0.001953,-0.001953,7127.34
3.652, 0.005859,-0.003906,0.001953,7127.34
3.672, 0.001953,-0.001953,-0.001953,7127.34
3.683, 0.003906,0,0,7127.34
3.703, 0.001953,-0.001953,0,7127.34
3.713, 0.003906,-0.001953,0.001953,7127.34
3.735, 0.003906,-0.001953,0,7125.95
3.745, 0.000000,0,-0.001953,7125.95
3.766, 0.000000,-0.001953,-0.001953,7125.95
3.777, 0.000000,-0.001953,0.001953,7125.95
3.798,-0.001953,0.001953,-0.001953,7125.95
3.808, 0.005859,-0.001953,0,7125.95
3.829, 0.000000,-0.001953,0.001953,7127.57
3.839,-0.001953,-0.001953,0.001953,7127.57
3.861, 0.003906,-0.001953,0.003906,7127.57
3.872, 0.000000,-0.003906,-0.001953,7127.57
